户号,日期,时间,预测量
A3,2018/08/11,0:00:00,1712.67
A3,2018/08/12,0:00:00,1715.36
A3,2018/08/13,0:00:00,1716.48
A3,2018/08/14,0:00:00,1718.02
A3,2018/08/15,0:00:00,1720.86
A3,2018/08/16,0:00:00,1723.15
A3,2018/08/17,0:00:00,1725.33
A3,2018/08/18,0:00:00,1726.04
A3,2018/08/19,0:00:00,1729.25
A3,2018/08/20,0:00:00,1731.99
A3,2018/08/21,0:00:00,1734.38
A3,2018/08/22,0:00:00,1736.4
A3,2018/08/23,0:00:00,1738.86
A3,2018/08/24,0:00:00,1742.12
A3,2018/08/25,0:00:00,1742.12
A3,2018/08/26,0:00:00,1742.12
A3,2018/08/27,0:00:00,1742.12
A3,2018/08/28,0:00:00,1742.12
A3,2018/08/29,0:00:00,1743.84
A3,2018/08/30,0:00:00,1746.67
A3,2018/08/31,0:00:00,1749.7
A3,2018/09/01,0:00:00,1752.45
A3,2018/09/02,0:00:00,1754.53
A3,2018/09/03,0:00:00,1756.79
A3,2018/09/04,0:00:00,1759.02
A3,2018/09/05,0:00:00,1761.99
A3,2018/09/06,0:00:00,1764.96
A3,2018/09/07,0:00:00,1767.45
A3,2018/09/08,0:00:00,1767.95
A3,2018/09/09,0:00:00,1768.74
A3,2018/09/10,0:00:00,1771.65
A3,2018/09/11,0:00:00,1773.47
A3,2018/09/12,0:00:00,1774.05
A3,2018/09/13,0:00:00,1775.12
A3,2018/09/14,0:00:00,1776.31
A3,2018/09/15,0:00:00,1778.31
A3,2018/09/16,0:00:00,1780.7
A3,2018/09/17,0:00:00,1782.34
A3,2018/09/18,0:00:00,1783.09
A3,2018/09/19,0:00:00,1785.27
A3,2018/09/20,0:00:00,1787.8
A3,2018/09/21,0:00:00,1789.73
A3,2018/09/22,0:00:00,1790.23
A3,2018/09/23,0:00:00,1790.63
A3,2018/09/24,0:00:00,1792.44
A3,2018/09/25,0:00:00,1794.87
A3,2018/09/26,0:00:00,1797.19
A3,2018/09/27,0:00:00,1798.92
A3,2018/09/28,0:00:00,1799.98
A3,2018/09/29,0:00:00,1802.56
A3,2018/09/30,0:00:00,1805.45
A4,2018/08/01,0:00:00,3236.14
